Time,U,Y,X1,X2
0.0,4.51,5.13,-1689.29,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.06,-142.1
0.003,150.17,0.0,0.15,-284.15
0.004,223.39,0.05,0.25,-426.16
0.005,295.17,0.23,0.37,-566.48
0.006,363.42,0.44,0.51,-701.09
0.007,427.81,0.69,0.66,-829.21
0.008,487.6,0.92,0.82,-949.33
0.009,543.31,1.19,0.99,-1062.27
0.01,594.2,1.42,1.17,-1166.57
0.011,641.03,1.74,1.35,-1263.54
0.012,682.38,2.0,1.54,-1350.46
0.013,719.27,2.25,1.72,-1429.08
0.014,751.88,2.48,1.91,-1499.69
0.015,780.66,2.75,2.09,-1563.05
0.016,804.99,2.94,2.27,-1617.98
0.017,826.28,3.14,2.45,-1666.98
0.018,844.33,3.31,2.62,-1709.75
0.019,859.62,3.53,2.79,-1747.09
0.02,871.27,4.16,2.95,-1777.34
0.021,872.43,3.82,3.09,-1787.7
0.022,879.89,3.98,3.24,-1808.91
0.023,884.6,4.1,3.38,-1825.05
0.024,887.46,4.18,3.51,-1837.33
0.025,889.23,4.29,3.64,-1847.19
0.026,889.35,4.35,3.76,-1853.64
0.027,888.55,4.48,3.87,-1857.99
0.028,885.86,4.52,3.97,-1858.48
0.029,882.63,4.62,4.07,-1857.55
0.03,877.98,4.66,4.16,-1853.63
0.031,872.76,4.69,4.25,-1848.28
0.032,867.26,4.7,4.32,-1842.05
0.033,861.75,4.74,4.39,-1835.5
0.034,855.75,4.79,4.46,-1827.74
0.035,849.07,4.77,4.52,-1818.43
0.036,842.99,4.77,4.58,-1809.91
0.037,837.03,4.76,4.63,-1801.41
0.038,831.32,4.79,4.67,-1793.13
0.039,825.19,4.81,4.71,-1783.86
0.04,818.89,4.78,4.75,-1774.05
0.041,813.13,4.81,4.78,-1765.02
0.042,807.05,4.76,4.81,-1755.22
0.043,801.85,4.77,4.84,-1746.87
0.044,796.67,4.72,4.86,-1738.42
0.045,792.28,4.75,4.89,-1731.32
0.046,787.53,4.47,4.9,-1723.43
0.047,787.64,4.69,4.92,-1724.44
0.048,783.84,4.71,4.94,-1718.34
0.049,779.89,4.69,4.95,-1711.7
0.05,776.31,4.66,4.97,-1705.61
0.051,773.25,4.67,4.98,-1700.42
0.052,770.04,4.63,4.98,-1694.89
0.053,767.66,4.64,4.99,-1690.82
0.054,765.11,4.62,5.0,-1686.41
0.055,762.96,4.64,5.0,-1682.67
0.056,760.47,4.61,5.01,-1678.27
0.057,758.43,4.61,5.01,-1674.65
0.058,756.53,4.53,5.02,-1671.25
0.059,756.03,4.54,5.02,-1670.4
0.06,755.25,4.54,5.02,-1669.11
0.061,754.44,4.53,5.02,-1667.71
0.062,753.94,4.51,5.03,-1666.87
0.063,753.67,4.52,5.03,-1666.47
0.064,753.29,4.52,5.03,-1665.85
0.065,752.85,4.5,5.03,-1665.12
0.066,752.78,4.48,5.03,-1665.06
0.067,753.12,4.48,5.03,-1665.77
0.068,753.45,4.48,5.04,-1666.48
0.069,753.78,4.49,5.04,-1667.19
0.07,753.81,4.46,5.04,-1667.35
0.071,754.39,4.48,5.04,-1668.5
0.072,754.71,4.3,5.04,-1669.21
0.073,758.07,4.49,5.05,-1675.57
0.074,758.0,4.46,5.05,-1675.72
0.075,758.56,4.48,5.05,-1676.88
0.076,758.85,4.48,5.06,-1677.59
0.077,759.16,4.44,5.06,-1678.29
0.078,760.06,4.49,5.06,-1680.11
0.079,760.05,4.49,5.06,-1680.27
0.08,760.19,4.48,5.07,-1680.64
0.081,760.5,4.49,5.07,-1681.35
0.082,760.63,4.49,5.07,-1681.73
0.083,760.77,4.5,5.07,-1682.11
0.084,760.67,4.5,5.08,-1682.04
0.085,760.58,4.49,5.08,-1681.98
0.086,760.73,4.46,5.08,-1682.35
0.087,761.36,4.49,5.08,-1683.62
0.088,761.49,4.51,5.08,-1684.0
0.089,761.28,4.48,5.09,-1683.71
0.09,761.62,4.47,5.09,-1684.42
0.091,762.07,4.51,5.09,-1685.35
0.092,761.79,4.49,5.09,-1684.95
0.093,761.84,4.51,5.09,-1685.11
0.094,761.58,4.49,5.1,-1684.71
0.095,761.63,4.49,5.1,-1684.87
0.096,761.8,5.09,5.1,-1685.25
0.097,751.79,4.49,5.09,-1666.7
0.098,752.17,4.49,5.09,-1666.86
0.099,752.3,4.46,5.09,-1667.02
0.1,752.96,4.48,5.09,-1668.18
0.101,753.36,4.49,5.09,-1668.9
0.102,753.47,4.45,5.09,-1669.06
0.103,754.35,4.45,5.09,-1670.67
0.104,755.14,4.51,5.09,-1672.16
0.105,754.98,4.47,5.09,-1671.87
0.106,755.56,4.47,5.09,-1672.92
0.107,756.11,4.48,5.09,-1673.97
0.108,756.48,4.48,5.09,-1674.68
0.109,756.85,4.49,5.09,-1675.4
0.11,757.04,4.45,5.09,-1675.78
0.111,757.89,4.49,5.09,-1677.38
0.112,758.06,4.46,5.09,-1677.76
0.113,758.66,4.47,5.09,-1678.92
0.114,759.19,4.48,5.09,-1679.96
0.115,759.53,4.47,5.09,-1680.67
0.116,760.06,4.48,5.09,-1681.72
0.117,760.41,4.48,5.09,-1682.43
0.118,760.75,4.47,5.1,-1683.14
0.119,761.27,4.47,5.1,-1684.19
0.12,761.73,4.49,5.1,-1685.12
0.121,761.88,4.51,5.1,-1685.5
0.122,761.63,4.47,5.1,-1685.1
0.123,762.11,4.49,5.1,-1686.04
0.124,762.15,4.47,5.1,-1686.2
0.125,762.62,4.51,5.11,-1687.13
0.126,762.36,4.48,5.11,-1686.73
0.127,762.66,4.52,5.11,-1687.33
0.128,762.23,4.48,5.11,-1686.6
0.129,762.59,4.47,5.11,-1687.32
0.13,763.12,4.53,5.11,-1688.36
0.131,762.56,4.5,5.11,-1687.41
0.132,762.52,4.5,5.11,-1687.35
0.133,762.46,4.48,5.11,-1687.28
0.134,762.83,4.47,5.11,-1688.0
0.135,763.3,4.47,5.12,-1688.93
0.136,763.82,4.51,5.12,-1689.98
0.137,763.62,4.48,5.12,-1689.69
0.138,763.99,4.5,5.12,-1690.4
0.139,763.91,4.49,5.12,-1690.34
0.14,763.98,4.52,5.12,-1690.5
0.141,763.62,4.48,5.12,-1689.88
0.142,763.99,4.47,5.12,-1690.59
0.143,764.46,4.5,5.12,-1691.53
0.144,764.39,4.48,5.12,-1691.46
0.145,764.75,4.53,5.13,-1692.18
0.146,764.26,4.5,5.13,-1691.34
0.147,764.22,4.53,5.13,-1691.27
0.148,763.69,4.51,5.13,-1690.32
0.149,763.48,4.49,5.13,-1689.93
0.15,763.56,4.51,5.13,-1690.09
0.151,763.34,4.51,5.13,-1689.69
0.152,763.18,4.51,5.13,-1689.41
0.153,763.02,4.52,5.13,-1689.12
0.154,762.69,4.51,5.13,-1688.51
0.155,762.49,4.48,5.13,-1688.11
0.156,762.87,4.49,5.13,-1688.83
0.157,763.07,4.47,5.13,-1689.21
0.158,763.56,4.48,5.13,-1690.14
0.159,763.92,4.49,5.13,-1690.86
0.16,764.11,4.48,5.13,-1691.24
0.161,764.47,4.5,5.13,-1691.95
0.162,764.41,4.48,5.13,-1691.89
0.163,764.79,4.51,5.13,-1692.6
0.164,764.55,4.53,5.13,-1692.21
0.165,764.09,4.53,5.13,-1691.37
0.166,763.58,4.48,5.13,-1690.42
0.167,763.97,4.48,5.13,-1691.13
0.168,764.34,4.51,5.13,-1691.85
0.169,764.11,4.51,5.13,-1691.45
0.17,763.9,4.51,5.13,-1691.06
0.171,763.74,4.51,5.13,-1690.77
0.172,763.59,4.49,5.13,-1690.49
0.173,763.8,4.5,5.13,-1690.87
0.174,763.76,4.52,5.13,-1690.81
0.175,763.42,4.51,5.13,-1690.19
0.176,763.22,4.5,5.13,-1689.8
0.177,763.19,4.51,5.13,-1689.74
0.178,763.04,4.51,5.13,-1689.46
0.179,762.9,4.51,5.13,-1689.17
0.18,762.75,4.52,5.13,-1688.89
0.181,762.43,4.48,5.13,-1688.27
0.182,762.83,4.53,5.13,-1688.99
0.183,762.31,4.48,5.13,-1688.04
0.184,762.72,4.5,5.13,-1688.76
0.185,762.68,4.49,5.13,-1688.69
0.186,762.77,4.49,5.13,-1688.85
0.187,762.98,4.47,5.13,-1689.24
0.188,763.53,4.53,5.13,-1690.28
0.189,763.01,4.49,5.13,-1689.33
0.19,763.11,4.51,5.13,-1689.49
0.191,762.95,4.47,5.13,-1689.21
0.192,763.52,4.52,5.13,-1690.26
0.193,763.17,4.48,5.13,-1689.64
0.194,763.56,4.48,5.13,-1690.36
0.195,763.93,4.52,5.13,-1691.07
0.196,763.59,4.48,5.13,-1690.45
0.197,763.98,4.49,5.13,-1691.17
0.198,764.05,4.49,5.13,-1691.33
0.199,764.24,4.51,5.13,-1691.71
0.2,764.08,4.51,5.13,-1691.43
0.201,763.92,4.52,5.13,-1691.14
0.202,763.59,4.53,5.13,-1690.53
0.203,763.15,4.53,5.13,-1689.69
0.204,762.71,4.72,5.13,-1688.85
0.205,758.94,4.49,5.13,-1681.79
0.206,759.27,4.51,5.13,-1682.18
0.207,759.15,4.49,5.13,-1681.9
0.208,759.39,4.51,5.13,-1682.28
0.209,759.2,4.47,5.13,-1681.89
0.21,759.8,4.48,5.13,-1682.94
0.211,760.19,4.48,5.13,-1683.65
0.212,760.58,4.49,5.13,-1684.37
0.213,760.67,4.51,5.12,-1684.53
0.214,760.53,4.5,5.12,-1684.25
0.215,760.51,4.48,5.12,-1684.19
0.216,760.91,4.51,5.12,-1684.9
0.217,760.7,4.49,5.12,-1684.51
0.218,760.8,4.48,5.12,-1684.67
0.219,761.19,4.51,5.12,-1685.39
0.22,761.03,4.48,5.12,-1685.1
0.221,761.42,4.49,5.12,-1685.82
0.222,761.62,4.48,5.12,-1686.2
0.223,762.0,4.47,5.12,-1686.91
0.224,762.55,4.51,5.12,-1687.96
0.225,762.32,4.52,5.12,-1687.57
0.226,761.99,4.48,5.12,-1686.95
0.227,762.32,4.47,5.12,-1687.55
0.228,762.81,4.46,5.12,-1688.49
0.229,763.41,4.46,5.13,-1689.65
0.23,764.0,4.48,5.13,-1690.8
0.231,764.35,4.5,5.13,-1691.52
0.232,764.29,4.49,5.13,-1691.45
0.233,764.36,4.47,5.13,-1691.61
0.234,764.84,4.51,5.13,-1692.55
0.235,764.59,4.51,5.13,-1692.15
0.236,764.37,4.51,5.13,-1691.75
0.237,764.15,4.49,5.13,-1691.36
0.238,764.23,4.52,5.13,-1691.52
0.239,763.88,4.51,5.13,-1690.9
0.24,763.67,4.51,5.13,-1690.51
0.241,763.52,4.52,5.13,-1690.22
0.242,763.12,4.49,5.13,-1689.5
0.243,763.34,4.51,5.13,-1689.88
0.244,763.12,4.51,5.13,-1689.48
0.245,762.91,4.5,5.13,-1689.09
0.246,762.88,4.5,5.13,-1689.03
0.247,762.85,4.49,5.13,-1688.97
0.248,763.06,4.52,5.13,-1689.35
0.249,762.66,4.49,5.13,-1688.62
0.25,762.88,4.53,5.13,-1689.0
0.251,762.43,4.52,5.13,-1688.17
0.252,762.11,4.51,5.13,-1687.55
0.253,761.91,4.51,5.13,-1687.16
0.254,761.71,4.52,5.13,-1686.76
0.255,761.4,4.49,5.13,-1686.15
0.256,761.5,4.51,5.13,-1686.31
0.257,761.36,4.49,5.13,-1686.03
0.258,761.58,4.52,5.13,-1686.41
0.259,761.25,4.48,5.13,-1685.79
0.26,761.66,4.51,5.13,-1686.51
0.261,761.44,4.5,5.13,-1686.11
0.262,761.42,4.52,5.13,-1686.05
0.263,761.1,4.48,5.13,-1685.44
0.264,761.5,4.51,5.13,-1686.15
0.265,761.29,4.48,5.13,-1685.76
0.266,761.68,4.49,5.13,-1686.47
0.267,761.88,4.52,5.13,-1686.86
0.268,761.49,4.51,5.13,-1686.13
0.269,761.29,4.51,5.13,-1685.74
0.27,761.15,4.48,5.12,-1685.45
0.271,761.55,4.46,5.12,-1686.17
0.272,762.17,4.51,5.13,-1687.33
0.273,762.0,4.48,5.13,-1687.04
0.274,762.38,4.48,5.13,-1687.76
0.275,762.75,4.51,5.13,-1688.47
0.276,762.59,4.5,5.13,-1688.19
0.277,762.55,4.49,5.13,-1688.13
0.278,762.76,4.48,5.13,-1688.51
0.279,763.13,4.49,5.13,-1689.22
0.28,763.2,4.51,5.13,-1689.38
0.281,763.03,4.5,5.13,-1689.1
0.282,763.0,4.51,5.13,-1689.04
0.283,762.84,4.48,5.13,-1688.75
0.284,763.22,4.52,5.13,-1689.47
0.285,762.88,4.53,5.13,-1688.85
0.286,762.37,4.49,5.13,-1687.9
0.287,762.47,4.49,5.13,-1688.06
0.288,762.55,4.48,5.13,-1688.22
0.289,762.93,4.53,5.13,-1688.93
0.29,762.41,4.48,5.13,-1687.99
0.291,762.81,4.5,5.13,-1688.7
0.292,762.76,4.51,5.13,-1688.64
0.293,762.61,4.53,5.13,-1688.35
0.294,762.16,4.49,5.13,-1687.52
0.295,762.38,4.52,5.13,-1687.9
0.296,762.04,4.5,5.13,-1687.28
0.297,762.02,4.5,5.13,-1687.22
0.298,761.99,4.49,5.13,-1687.16
0.299,762.2,4.51,5.13,-1687.54
0.3,761.99,4.48,5.13,-1687.15
0.301,762.32,4.51,5.13,-1687.75
0.302,762.16,4.5,5.13,-1687.47
0.303,762.13,4.52,5.13,-1687.41
0.304,761.81,4.48,5.13,-1686.79
0.305,762.2,4.49,5.13,-1687.51
0.306,762.4,4.49,5.13,-1687.89
0.307,762.6,4.52,5.13,-1688.27
0.308,762.26,4.49,5.13,-1687.65
0.309,762.35,4.51,5.13,-1687.81
0.31,762.14,4.5,5.13,-1687.42
0.311,762.11,4.5,5.13,-1687.36
0.312,762.08,4.49,5.13,-1687.3
0.313,762.29,4.52,5.13,-1687.68
0.314,761.96,4.51,5.13,-1687.06
0.315,761.81,4.51,5.13,-1686.78
0.316,761.61,4.49,5.13,-1686.39
0.317,761.83,4.49,5.13,-1686.77
0.318,762.03,4.5,5.13,-1687.15
0.319,761.99,4.5,5.13,-1687.09
0.32,761.96,4.49,5.13,-1687.03
0.321,762.05,4.47,5.13,-1687.19
0.322,762.55,4.48,5.13,-1688.12
0.323,762.92,4.49,5.13,-1688.84
0.324,762.99,4.51,5.13,-1689.0
0.325,762.83,4.5,5.13,-1688.71
0.326,762.8,4.51,5.13,-1688.65
0.327,762.64,4.28,5.13,-1688.37
0.328,766.42,4.51,5.13,-1695.39
0.329,766.14,4.49,5.13,-1695.11
0.33,766.31,4.47,5.13,-1695.49
0.331,766.84,4.51,5.13,-1696.53
0.332,766.58,4.51,5.14,-1696.14
0.333,766.35,4.48,5.14,-1695.74
0.334,766.71,4.51,5.14,-1696.45
0.335,766.52,4.52,5.14,-1696.17
0.336,766.17,4.51,5.14,-1695.55
0.337,766.0,4.53,5.14,-1695.26
0.338,765.54,4.53,5.14,-1694.42
0.339,765.09,4.51,5.14,-1693.59
0.34,764.94,4.48,5.14,-1693.3
0.341,765.32,4.49,5.14,-1694.02
0.342,765.51,4.51,5.14,-1694.4
0.343,765.28,4.54,5.14,-1694.0
0.344,764.65,4.53,5.14,-1692.83
0.345,764.15,4.52,5.14,-1691.88
0.346,763.77,4.52,5.14,-1691.15
0.347,763.46,4.49,5.14,-1690.54
0.348,763.56,4.51,5.14,-1690.7
0.349,763.41,4.5,5.14,-1690.42
0.35,763.39,4.51,5.14,-1690.36
0.351,763.18,4.51,5.14,-1689.96
0.352,763.04,4.51,5.14,-1689.68
0.353,762.9,4.53,5.14,-1689.4
0.354,762.41,4.53,5.14,-1688.45
0.355,761.98,4.51,5.14,-1687.61
0.356,761.86,4.52,5.14,-1687.33
0.357,761.55,4.48,5.13,-1686.72
0.358,761.96,4.51,5.13,-1687.43
0.359,761.81,4.53,5.13,-1687.15
0.36,761.32,4.49,5.13,-1686.2
0.361,761.43,4.5,5.13,-1686.36
0.362,761.42,4.52,5.13,-1686.3
0.363,761.1,4.51,5.13,-1685.69
0.364,760.91,4.48,5.13,-1685.29
0.365,761.32,4.51,5.13,-1686.01
0.366,761.11,4.51,5.13,-1685.62
0.367,760.98,4.51,5.13,-1685.33
0.368,760.85,4.51,5.13,-1685.05
0.369,760.65,4.46,5.13,-1684.66
0.37,761.36,4.51,5.13,-1685.93
0.371,761.2,4.47,5.13,-1685.65
0.372,761.77,4.49,5.13,-1686.69
0.373,761.85,4.49,5.13,-1686.85
0.374,762.06,4.49,5.13,-1687.24
0.375,762.26,4.49,5.13,-1687.62
0.376,762.46,4.48,5.13,-1688.0
0.377,762.84,4.5,5.13,-1688.71
0.378,762.79,4.51,5.13,-1688.65
0.379,762.64,4.51,5.13,-1688.37
0.38,762.48,4.51,5.13,-1688.09
0.381,762.28,4.49,5.13,-1687.69
0.382,762.49,4.49,5.13,-1688.07
0.383,762.69,4.49,5.13,-1688.46
0.384,762.76,4.5,5.13,-1688.62
0.385,762.73,4.49,5.13,-1688.55
0.386,762.81,4.51,5.13,-1688.71
0.387,762.59,4.47,5.13,-1688.32
0.388,763.1,4.49,5.13,-1689.25
0.389,763.29,4.51,5.13,-1689.64
0.39,763.06,4.47,5.13,-1689.24
0.391,763.57,4.51,5.13,-1690.18
0.392,763.39,4.48,5.13,-1689.89
0.393,763.77,4.48,5.13,-1690.61
0.394,764.14,4.51,5.13,-1691.32
0.395,763.91,4.49,5.13,-1690.93
0.396,763.99,4.51,5.13,-1691.09
0.397,763.82,4.51,5.13,-1690.8
0.398,763.61,4.51,5.13,-1690.41
0.399,763.46,4.51,5.13,-1690.12
0.4,763.24,4.5,5.13,-1689.73
0.401,763.21,4.51,5.13,-1689.67
0.402,763.0,4.51,5.13,-1689.27
0.403,762.85,4.51,5.13,-1688.99
0.404,762.65,4.51,5.13,-1688.59
0.405,762.5,4.51,5.13,-1688.31
0.406,762.36,4.51,5.13,-1688.03
0.407,762.16,4.52,5.13,-1687.64
0.408,761.78,4.5,5.13,-1686.91
0.409,761.76,4.4,5.13,-1686.85
0.41,763.41,4.48,5.13,-1689.89
0.411,763.75,4.49,5.13,-1690.6
0.412,763.81,4.51,5.13,-1690.76
0.413,763.59,4.48,5.13,-1690.37
0.414,763.98,4.51,5.13,-1691.08
0.415,763.8,4.51,5.13,-1690.8
0.416,763.65,4.43,5.13,-1690.51
0.417,764.87,4.51,5.13,-1692.78
0.418,764.61,4.5,5.13,-1692.38
0.419,764.57,4.49,5.13,-1692.32
0.42,764.76,4.49,5.14,-1692.7
0.421,764.95,4.53,5.14,-1693.08
0.422,764.48,4.49,5.14,-1692.24
0.423,764.57,4.53,5.14,-1692.4
0.424,764.05,4.51,5.14,-1691.46
0.425,763.85,4.52,5.14,-1691.06
0.426,763.52,4.49,5.14,-1690.44
0.427,763.73,4.51,5.14,-1690.83
0.428,763.57,4.5,5.14,-1690.54
0.429,763.55,4.53,5.14,-1690.48
0.43,763.04,4.5,5.14,-1689.53
0.431,763.02,4.52,5.14,-1689.47
0.432,762.7,4.51,5.13,-1688.86
0.433,762.56,4.5,5.13,-1688.57
0.434,762.54,4.53,5.13,-1688.51
0.435,762.04,4.5,5.13,-1687.56
0.436,762.03,4.51,5.13,-1687.5
0.437,761.89,4.48,5.13,-1687.22
0.438,762.29,4.48,5.13,-1687.94
0.439,762.67,4.52,5.13,-1688.65
0.44,762.27,4.5,5.13,-1687.92
0.441,762.26,4.5,5.13,-1687.86
0.442,762.23,4.51,5.13,-1687.8
0.443,762.03,4.53,5.13,-1687.41
0.444,761.53,4.47,5.13,-1686.46
0.445,762.06,4.51,5.13,-1687.4
0.446,761.9,4.48,5.13,-1687.11
0.447,762.3,4.48,5.13,-1687.83
0.448,762.67,4.48,5.13,-1688.54
0.449,763.05,4.49,5.13,-1689.26
0.45,763.12,4.52,5.13,-1689.42
0.451,762.79,4.52,5.13,-1688.8
0.452,762.46,4.51,5.13,-1688.19
0.453,762.26,4.47,5.13,-1687.79
0.454,762.84,4.49,5.13,-1688.84
0.455,763.03,4.47,5.13,-1689.22
0.456,763.52,4.51,5.13,-1690.16
0.457,763.29,4.51,5.13,-1689.76
0.458,763.08,4.51,5.13,-1689.37
0.459,762.93,4.48,5.13,-1689.08
0.46,763.26,4.51,5.13,-1689.69
0.461,763.1,4.49,5.13,-1689.4
0.462,763.18,4.49,5.13,-1689.56
0.463,763.26,4.51,5.13,-1689.72
0.464,763.05,4.52,5.13,-1689.33
0.465,762.72,4.51,5.13,-1688.71
0.466,762.52,4.5,5.13,-1688.32
0.467,762.49,4.52,5.13,-1688.26
0.468,762.11,4.48,5.13,-1687.53
0.469,762.51,4.48,5.13,-1688.25
0.47,762.88,4.46,5.13,-1688.96
0.471,763.5,4.51,5.13,-1690.12
0.472,763.32,4.49,5.13,-1689.84
0.473,763.53,4.5,5.13,-1690.22
0.474,763.48,4.49,5.13,-1690.16
0.475,763.69,4.51,5.13,-1690.54
0.476,763.52,4.5,5.13,-1690.25
0.477,763.49,4.52,5.13,-1690.19
0.478,763.15,4.49,5.13,-1689.57
0.479,763.37,4.5,5.13,-1689.96
0.48,763.33,4.47,5.13,-1689.89
0.481,763.83,4.49,5.13,-1690.83
0.482,763.89,4.49,5.13,-1690.99
0.483,763.97,4.52,5.13,-1691.15
0.484,763.57,4.39,5.13,-1690.42
0.485,765.45,4.51,5.14,-1693.91
0.486,765.23,4.48,5.14,-1693.62
0.487,765.54,4.49,5.14,-1694.22
0.488,765.72,4.49,5.14,-1694.6
0.489,765.91,4.5,5.14,-1694.98
0.49,765.85,4.51,5.14,-1694.92
0.491,765.68,4.52,5.14,-1694.64
0.492,765.34,4.51,5.14,-1694.02
0.493,765.18,4.52,5.14,-1693.74
0.494,764.78,4.5,5.14,-1693.01
0.495,764.75,4.48,5.14,-1692.95
0.496,765.13,4.49,5.14,-1693.66
0.497,765.32,4.58,5.14,-1694.04
0.498,763.96,4.49,5.14,-1691.54
0.499,764.2,4.53,5.14,-1691.92
